Variable,"Full (N=69,527)","Sample A (N=29,132)","Sample B (N=35,995)"
Panel A: Demographics,,,
  N,"69,527","29,132","35,995"
  Female,"7,995 (13.0%)","3,911 (13.4%)","4,866 (13.5%)"
"  Age, mean (SD)",35.2 (10.7),35.3 (10.4),35.3 (10.4)
"  Age, median [IQR]",34.0 [27.0–42.0],34.0 [27.0–42.0],34.0 [27.0–42.0]
  Education,,,
    None,133 (0.3%),40 (0.1%),108 (0.3%)
    Primary,"3,308 (7.0%)","2,075 (7.1%)","2,510 (7.0%)"
    Basic,309 (0.7%),147 (0.5%),190 (0.5%)
    Secondary,"28,490 (60.4%)","17,580 (60.3%)","21,636 (60.1%)"
    Vocational,"3,170 (6.7%)","1,924 (6.6%)","2,404 (6.7%)"
    Higher,"11,736 (24.9%)","7,366 (25.3%)","9,147 (25.4%)"
  Employed,"32,233 (62.7%)","18,531 (63.6%)","22,994 (63.9%)"
  Prior criminal record,"21,460 (35.0%)","10,353 (35.5%)","12,771 (35.5%)"
,,,
Panel B: Crime,,,
  Violent,"36,569 (54.0%)","17,149 (58.9%)","21,075 (58.5%)"
  Property,"17,074 (25.2%)","6,624 (22.7%)","8,181 (22.7%)"
  Traffic,"8,262 (12.2%)","2,858 (9.8%)","3,687 (10.2%)"
  Drug,"1,195 (1.8%)",551 (1.9%),665 (1.8%)
  Other,"4,618 (6.8%)","1,950 (6.7%)","2,387 (6.6%)"
,,,
Panel C: Sentencing,,,
  Fine,"42,517 (61.2%)","20,887 (71.7%)","25,917 (72.0%)"
  Imprisonment,"11,859 (17.1%)","5,521 (19.0%)","6,730 (18.7%)"
  Community service,"7,653 (11.0%)","1,699 (5.8%)","2,115 (5.9%)"
  Suspended,"7,498 (10.8%)","1,025 (3.5%)","1,233 (3.4%)"
"  Severity (winsorized), mean (SD)",10.1 (21.1),9.5 (19.8),9.4 (19.6)
"  Severity (winsorized), median [IQR]",1.7 [1.1–7.8],1.6 [1.1–7.0],1.6 [1.1–7.0]
,,,
Panel D: Context,,,
  UB (Ulaanbaatar),"36,179 (52.0%)","16,581 (56.9%)","20,134 (55.9%)"
  Unique courts,47,45,46
  Year range,2020–2026,2020–2026,2020–2026
