model,variable,coefficient,se,t,p,ci_low,ci_high,r_squared,n
Model 1 - Total Association,female,-1.5114745852721292,0.29572437180562217,-5.111092386614696,3.2030128880795105e-07,-2.091083703361881,-0.9318654671823775,0.08024717568490092,29132
Model 1 - Total Association,age,0.2965129752373999,0.08120735488796266,3.651306900052127,0.00026090923308012685,0.13734948437723035,0.4556764660975694,0.08024717568490092,29132
Model 1 - Total Association,age_sq,-0.0027144927184407867,0.001009512687179318,-2.688913921453883,0.007168490142324684,-0.004693101227248499,-0.0007358842096330735,0.08024717568490092,29132
Model 1 - Total Association,education_level,-0.23671462643611343,0.13643244766434076,-1.7350317354013385,0.0827351842560915,-0.5041173101808671,0.0306880573086403,0.08024717568490092,29132
Model 1 - Total Association,employed,-6.2799677746410225,0.6299819237056052,-9.968488838063381,2.0939035309958122e-23,-7.514709656015269,-5.045225893266776,0.08024717568490092,29132
Model 1 - Total Association,prior_criminal,5.318352161809347,0.4468519625502441,11.901821201493215,1.1579222171976772e-32,4.442538408789828,6.194165914828867,0.08024717568490092,29132
Model 2 - Same-Crime,female,-0.555798240148552,0.22756023141535334,-2.4424225476115096,0.014589059710941503,-1.0018080980362447,-0.10978838226085924,0.625366797579096,29132
Model 2 - Same-Crime,age,0.23402997690946406,0.03826727220073429,6.115669172389387,9.615261667528756e-10,0.15902750160943405,0.30903245220949405,0.625366797579096,29132
Model 2 - Same-Crime,age_sq,-0.003070716936862399,0.0004750323690246802,-6.464226728732376,1.0181811478182333e-10,-0.004001763271641512,-0.0021396706020832858,0.625366797579096,29132
Model 2 - Same-Crime,education_level,-0.251487042975132,0.08250687304805235,-3.048073859600338,0.002303133120413227,-0.4131975426263331,-0.08977654332393095,0.625366797579096,29132
Model 2 - Same-Crime,employed,-2.83392625233113,0.3035244328466362,-9.33673189256249,9.935344998228768e-21,-3.4288232091384834,-2.239029295523777,0.625366797579096,29132
Model 2 - Same-Crime,prior_criminal,3.457391061492906,0.2866528767261308,12.061246693142765,1.692020667103684e-33,2.8955617470448898,4.019220375940923,0.625366797579096,29132
