model,variable,coefficient,se,t,p,ci_low,ci_high,r_squared,n,notes
Sample B (no age),female,-1.4828772283705671,0.25034371306073594,-5.923365161604062,3.154193703179121e-09,-1.9735418897256392,-0.9922125670154951,0.07833373748795402,35995,Model 1 without age/age_sq
Sample B (no age),education_level,-0.1455840752097366,0.10805855216101615,-1.3472702742935545,0.17789320211004755,-0.3573749456668711,0.06620679524739789,0.07833373748795402,35995,Model 1 without age/age_sq
Sample B (no age),employed,-6.100866495349149,0.6524945948394442,-9.350064419844514,8.75943587988801e-21,-7.379732401341514,-4.822000589356784,0.07833373748795402,35995,Model 1 without age/age_sq
Sample B (no age),prior_criminal,5.548948090712508,0.4248640032111332,13.060527718925147,5.5342811716132274e-39,4.716229946091177,6.381666235333839,0.07833373748795402,35995,Model 1 without age/age_sq
2020-2022,female,-2.0290052394343756,0.4625078447215377,-4.386963945781243,1.1494383401427455e-05,-2.9355039576558335,-1.122506521212918,0.08233719625584024,15976,Model 1 temporal subset
2020-2022,education_level,-0.17656446528433406,0.2122841342065514,-0.831736511747683,0.4055576867708487,-0.5926337228184422,0.239504792249774,0.08233719625584024,15976,Model 1 temporal subset
2020-2022,employed,-6.836944224988412,0.6545025690389124,-10.446015872829879,1.5281047948635695e-25,-8.11974568809362,-5.554142761883203,0.08233719625584024,15976,Model 1 temporal subset
2020-2022,prior_criminal,5.880165563055526,0.5614267392423482,10.473611518736845,1.1420111356285688e-25,4.779789374182763,6.980541751928288,0.08233719625584024,15976,Model 1 temporal subset
2023-2025,female,-1.0380794263796878,0.6057167729898856,-1.7138033362616192,0.0865648504843463,-2.225262486271687,0.1491036335123117,0.0826769667386833,13069,Model 1 temporal subset
2023-2025,education_level,-0.2692360881854441,0.14563616548130545,-1.8486897625714027,0.06450262278684213,-0.5546777273753182,0.016205551004429997,0.0826769667386833,13069,Model 1 temporal subset
2023-2025,employed,-5.477246474199432,0.8635323858349666,-6.342838513118849,2.2556984523958173e-10,-7.169738849919912,-3.7847540984789516,0.0826769667386833,13069,Model 1 temporal subset
2023-2025,prior_criminal,4.702033754432277,0.4735675868021735,9.928960269817809,3.1148643594451644e-23,3.773858340054471,5.630209168810083,0.0826769667386833,13069,Model 1 temporal subset
Log-severity,female,-0.2077980643074619,0.02490106343116868,-8.344947390775323,7.124559317462988e-17,-0.2566032518092999,-0.1589928768056239,0.21326960776461146,28959,DV = log(severity); coefficients are log units
Log-severity,education_level,0.022047141352767276,0.009746217494034976,2.2621228559962767,0.023689813835951402,0.0029449060789645057,0.04114937662657005,0.21326960776461146,28959,DV = log(severity); coefficients are log units
Log-severity,employed,-0.3845270297947576,0.04023362241882675,-9.5573554325256,1.2080409159156656e-21,-0.4633834807032413,-0.3056705788862739,0.21326960776461146,28959,DV = log(severity); coefficients are log units
Log-severity,prior_criminal,0.49637101934178074,0.027338016418515656,18.156804493159775,1.1343838796906056e-73,0.44278949175272536,0.5499525469308361,0.21326960776461146,28959,DV = log(severity); coefficients are log units
Two-part stage 2,female,3.7836496395191,1.7949883062888587,2.107896539639192,0.03503993961791191,0.26553720652238555,7.301762072515814,0.20957135848681896,5521,OLS on imprisoned cases with sentence_months
Two-part stage 2,education_level,-0.6042360026424345,0.4450483553781109,-1.3576861825027497,0.17456328307639757,-1.4765147505623148,0.26804274527744576,0.20957135848681896,5521,OLS on imprisoned cases with sentence_months
Two-part stage 2,employed,-4.305577130042868,1.018727958195798,-4.226424822646658,2.3743354565226872e-05,-6.302247238150658,-2.308907021935078,0.20957135848681896,5521,OLS on imprisoned cases with sentence_months
Two-part stage 2,prior_criminal,0.38102710827170644,1.2228155833549328,0.3115981783829705,0.755345918802763,-2.0156473948382985,2.777701611381711,0.20957135848681896,5521,OLS on imprisoned cases with sentence_months
Legal controls subsample,female,-0.044236869780225965,0.7768510796846277,-0.056943822229331864,0.9545899458338089,-1.5668370073131521,1.4783632677527,0.34340667238378975,6334,"Replaces agg/mit with victim_minor, injury_serious, intoxicated, restitution; non-representative subsample"
Legal controls subsample,education_level,-0.735980159328466,0.3026830490665313,-2.431520898174558,0.015035580918230974,-1.3292280342296374,-0.1427322844272947,0.34340667238378975,6334,"Replaces agg/mit with victim_minor, injury_serious, intoxicated, restitution; non-representative subsample"
Legal controls subsample,employed,-8.164572928877922,0.8514327969963762,-9.58921591660589,8.875693186315975e-22,-9.833350546247022,-6.495795311508822,0.34340667238378975,6334,"Replaces agg/mit with victim_minor, injury_serious, intoxicated, restitution; non-representative subsample"
Legal controls subsample,prior_criminal,4.153665271689349,0.6266252165021549,6.628627706486602,3.38821920813269e-11,2.925502415540512,5.381828127838187,0.34340667238378975,6334,"Replaces agg/mit with victim_minor, injury_serious, intoxicated, restitution; non-representative subsample"
Severity: Article 5.4 community conversion,female,-1.4923584772677858,0.29135397396061574,-5.12214903740945,3.02072979649978e-07,-2.0634017729832133,-0.9213151815523583,0.08267078066422417,29132,Community service = hours/240; other default weights unchanged
Severity: Article 5.4 community conversion,education_level,-0.19912615802349087,0.13446843536741243,-1.4808394065076467,0.13864937285842,-0.4626794484010713,0.06442713235408953,0.08267078066422417,29132,Community service = hours/240; other default weights unchanged
Severity: Article 5.4 community conversion,employed,-6.10855313424396,0.6113076605265538,-9.992600336436677,1.6421634390927772e-23,-7.306694132349443,-4.9104121361384765,0.08267078066422417,29132,Community service = hours/240; other default weights unchanged
Severity: Article 5.4 community conversion,prior_criminal,5.2418308047318165,0.43062408240853817,12.172637385753148,4.3480268172111284e-34,4.397823112335473,6.08583849712816,0.08267078066422417,29132,Community service = hours/240; other default weights unchanged
Severity: higher noncustodial weights,female,-1.43629700223279,0.30986563600026107,-4.635225192352662,3.5654911137809854e-06,-2.0436224888398997,-0.8289715156256804,0.07996776326401367,29132,"Fine divisor 300,000; suspended weight 0.7; community service hours/160"
Severity: higher noncustodial weights,education_level,0.09782782086769162,0.1390638901196524,0.7034739268656967,0.48176044984187716,-0.17473239531686255,0.37038803705224577,0.07996776326401367,29132,"Fine divisor 300,000; suspended weight 0.7; community service hours/160"
Severity: higher noncustodial weights,employed,-5.740284014829537,0.6077689791190494,-9.444845347569366,3.559295351809807e-21,-6.931489324823549,-4.549078704835524,0.07996776326401367,29132,"Fine divisor 300,000; suspended weight 0.7; community service hours/160"
Severity: higher noncustodial weights,prior_criminal,5.1615157417850295,0.43778463522938255,11.790079702273221,4.3912526679196335e-32,4.303473623750435,6.019557859819624,0.07996776326401367,29132,"Fine divisor 300,000; suspended weight 0.7; community service hours/160"
Severity: lower noncustodial weights,female,-1.5050683696231875,0.2834232842339838,-5.310320123101314,1.094328448785299e-07,-2.0605677991018547,-0.9495689401445203,0.08558317440187235,29132,"Fine divisor 600,000; suspended weight 0.3; community service hours/160"
Severity: lower noncustodial weights,education_level,-0.35481457828771007,0.13314325304715116,-2.664908436344548,0.007700928742486002,-0.6157705590446292,-0.09385859753079101,0.08558317440187235,29132,"Fine divisor 600,000; suspended weight 0.3; community service hours/160"
Severity: lower noncustodial weights,employed,-6.337342394172562,0.6178385174871341,-10.257279555744969,1.0975523482564259e-24,-7.548283636708965,-5.126401151636158,0.08558317440187235,29132,"Fine divisor 600,000; suspended weight 0.3; community service hours/160"
Severity: lower noncustodial weights,prior_criminal,5.339929099130259,0.42868535918588807,12.456523146186433,1.2886742143394874e-35,4.499721234426302,6.180136963834217,0.08558317440187235,29132,"Fine divisor 600,000; suspended weight 0.3; community service hours/160"
Preregistered HC3 estimator,female,-1.5114745852721292,0.3101806328073487,-4.8728851043736725,1.0998019041703552e-06,-2.119417454276376,-0.9035317162678826,0.08024717568490092,29132,Model 1 with HC3 rather than court-clustered SE
Preregistered HC3 estimator,education_level,-0.23671462643611343,0.11306059241526248,-2.093697028993795,0.03628697776910643,-0.4583093156407903,-0.015119937231436564,0.08024717568490092,29132,Model 1 with HC3 rather than court-clustered SE
Preregistered HC3 estimator,employed,-6.2799677746410225,0.2850427261881805,-22.031671737854104,1.4319012373116048e-107,-6.838641252024969,-5.721294297257076,0.08024717568490092,29132,Model 1 with HC3 rather than court-clustered SE
Preregistered HC3 estimator,prior_criminal,5.318352161809347,0.2617804349787512,20.316079626963106,9.268953794390346e-92,4.805271937393766,5.831432386224929,0.08024717568490092,29132,Model 1 with HC3 rather than court-clustered SE
Fine-only log amount,female,-0.06890524540518142,0.021840844383101944,-3.15488010429179,0.001605640738955227,-0.11171251378800517,-0.026097977022357673,0.2688067415470121,20880,DV = log(sentence_fine_mnt); within fine only
Fine-only log amount,education_level,0.10636508266085948,0.010235266162785684,10.392019217594102,2.6958445458973414e-25,0.08630432960961806,0.1264258357121009,0.2688067415470121,20880,DV = log(sentence_fine_mnt); within fine only
Fine-only log amount,employed,0.033920540542309016,0.01589917854956111,2.1334775527283694,0.032885571149477245,0.0027587232013974693,0.06508235788322056,0.2688067415470121,20880,DV = log(sentence_fine_mnt); within fine only
Fine-only log amount,prior_criminal,0.17045538834131047,0.011666072227869763,14.611206326504615,2.3826151087290894e-48,0.14759030693364278,0.19332046974897815,0.2688067415470121,20880,DV = log(sentence_fine_mnt); within fine only
Imprisonment-only log months,female,0.07597079464735894,0.03895342015349352,1.9502984422934049,0.051140558230830066,-0.00037650592814506,0.15231809522286294,0.18148015332263667,5520,DV = log(sentence_months); within imprisonment only
Imprisonment-only log months,education_level,0.010061338066001287,0.010436647120172947,0.9640393078495271,0.33502621902920093,-0.010394114408891361,0.030516790540893936,0.18148015332263667,5520,DV = log(sentence_months); within imprisonment only
Imprisonment-only log months,employed,-0.09896215902451905,0.021134642828012352,-4.68246186272674,2.834499351218883e-06,-0.140385297793541,-0.057539020255497085,0.18148015332263667,5520,DV = log(sentence_months); within imprisonment only
Imprisonment-only log months,prior_criminal,0.0532510671422492,0.024256061991014852,2.1953714977301315,0.028136959943399716,0.0057100592330891695,0.10079207505140922,0.18148015332263667,5520,DV = log(sentence_months); within imprisonment only
Exclude fines above personal statutory maximum,female,-1.4783628369950879,0.299333063038791,-4.938855808265673,7.858228972720515e-07,-2.0650448599331757,-0.891680814057,0.08070885588546883,29124,"Excludes fine cases above 40,000,000 MNT under Article 5.3.2-.3"
Exclude fines above personal statutory maximum,education_level,-0.2577909822920329,0.13306337705274518,-1.9373548755631445,0.05270197858386964,-0.518590408976687,0.003008444392621157,0.08070885588546883,29124,"Excludes fine cases above 40,000,000 MNT under Article 5.3.2-.3"
Exclude fines above personal statutory maximum,employed,-6.233552625642267,0.6239044341816609,-9.99119782474131,1.6655676267474193e-23,-7.456382846433163,-5.010722404851371,0.08070885588546883,29124,"Excludes fine cases above 40,000,000 MNT under Article 5.3.2-.3"
Exclude fines above personal statutory maximum,prior_criminal,5.368374605719126,0.44680415170468596,12.015050856705868,2.9618736689846977e-33,4.49265456023497,6.244094651203281,0.08070885588546883,29124,"Excludes fine cases above 40,000,000 MNT under Article 5.3.2-.3"
Fine-only log amount (statutory range),female,-0.06515117998991023,0.02193889855898034,-2.9696650364993653,0.0029812462643737103,-0.10815063102598937,-0.022151728953831072,0.27213320053169365,20872,"DV = log(sentence_fine_mnt); excludes amounts above 40,000,000 MNT"
Fine-only log amount (statutory range),education_level,0.10469601768690234,0.0097380721878504,10.751205748661956,5.849194299801221e-27,0.0856097469198644,0.12378228845394029,0.27213320053169365,20872,"DV = log(sentence_fine_mnt); excludes amounts above 40,000,000 MNT"
Fine-only log amount (statutory range),employed,0.040605158136244136,0.01589911716682136,2.55392533498526,0.010651609492439434,0.009443461103291768,0.07176685516919651,0.27213320053169365,20872,"DV = log(sentence_fine_mnt); excludes amounts above 40,000,000 MNT"
Fine-only log amount (statutory range),prior_criminal,0.17370450992663264,0.011954613005402038,14.53033317332307,7.784091117095362e-48,0.1502738989869305,0.19713512086633478,0.27213320053169365,20872,"DV = log(sentence_fine_mnt); excludes amounts above 40,000,000 MNT"
